City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sorong,-0.8833,131.25,298.07,87,79,4.65,ID,1691693308
1,torrington,41.8007,-73.1212,296.92,97,100,1.87,US,1691693308
2,papatowai,-46.5619,169.4708,275.61,85,100,2.68,NZ,1691693308
3,bredasdorp,-34.5322,20.0403,286.57,73,0,0.75,ZA,1691693308
4,haiku-pauwela,20.9219,-156.3051,296.16,83,75,7.72,US,1691693309
5,blackmans bay,-43.0167,147.3167,282.33,83,100,3.05,AU,1691693309
6,albany,42.6001,-73.9662,298.51,94,100,0.77,US,1691693084
7,hithadhoo,-0.6,73.0833,300.93,78,78,4.57,MV,1691693309
8,usogorsk,63.4106,48.6872,291.97,67,7,1.94,RU,1691693310
9,waitangi,-43.9535,-176.5597,281.38,84,54,5.8,NZ,1691693310
10,sisimiut,66.9395,-53.6735,280.4,90,100,2.42,GL,1691693310
11,binzhou,37.3667,118.0167,296.25,61,0,1.76,CN,1691693310
12,susuman,62.7833,148.1667,281.86,70,6,0.73,RU,1691693311
13,nova vicosa,-17.8919,-39.3719,297.82,63,100,4.29,BR,1691693311
14,talnakh,69.4865,88.3972,285.49,65,83,8.05,RU,1691693311
15,adamstown,-25.066,-130.1015,291.09,63,38,10.44,PN,1691693312
16,saint-philippe,-21.3585,55.7679,292.92,80,34,1.83,RE,1691693312
17,margaret river,-33.95,115.0667,285.97,73,92,2.3,AU,1691693313
18,enewetak,11.3474,162.3373,301.43,77,41,4.75,MH,1691693313
19,hermanus,-34.4187,19.2345,289.11,62,0,1.31,ZA,1691693314
20,palu,-0.8917,119.8707,297.23,96,100,1.07,ID,1691693314
21,port-aux-francais,-49.35,70.2167,278.18,89,100,15.24,TF,1691693314
22,longyearbyen,78.2186,15.6401,283.06,76,100,1.54,SJ,1691693314
23,tesistan,20.7833,-103.4833,297.72,38,26,1.73,MX,1691693314
24,ancud,-41.8697,-73.8203,281.35,78,100,7.85,CL,1691693195
25,carnarvon,-24.8667,113.6333,291.74,84,6,1.79,AU,1691693266
26,puerto natales,-51.7236,-72.4875,277.72,79,100,3.75,CL,1691693315
27,stanley,54.868,-1.6985,296.92,72,20,2.57,GB,1691693311
28,invercargill,-46.4,168.35,274.27,91,100,1.79,NZ,1691693315
29,praia da vitoria,38.7333,-27.0667,299.29,73,40,3.46,PT,1691693316
30,punta arenas,-53.15,-70.9167,277.27,71,100,6.49,CL,1691693316
